Category: All categories

Region,Diablo IV: (6/6/22 - 6/6/23),The Legend of Zelda: (6/6/22 - 6/6/23),Hogwarts Legacy: (6/6/22 - 6/6/23),Forspoken: (6/6/22 - 6/6/23),God of War Ragnarök: (6/6/22 - 6/6/23)
Utah,9%,37%,42%,1%,11%
Alaska,12%,33%,40%,1%,14%
Kentucky,10%,27%,48%,1%,14%
North Dakota,13%,25%,46%,1%,15%
Colorado,11%,29%,45%,1%,14%
Washington,14%,34%,37%,1%,14%
Missouri,10%,29%,47%,1%,13%
Indiana,9%,29%,46%,1%,15%
Idaho,12%,31%,41%,1%,15%
Oregon,12%,35%,40%,1%,12%
Wyoming,11%,30%,43%,1%,15%
Oklahoma,11%,30%,44%,1%,14%
Montana,12%,32%,42%,1%,13%
Michigan,11%,31%,43%,1%,14%
Tennessee,9%,29%,46%,1%,15%
Iowa,11%,27%,46%,1%,15%
West Virginia,12%,29%,42%,1%,16%
Ohio,11%,29%,44%,1%,15%
Kansas,12%,28%,44%,1%,15%
Arkansas,11%,28%,45%,1%,15%
Nevada,13%,27%,43%,1%,16%
South Dakota,11%,28%,45%,1%,15%
New Hampshire,13%,30%,42%,1%,14%
Wisconsin,11%,32%,43%,1%,13%
Arizona,11%,32%,41%,1%,15%
Minnesota,11%,34%,41%,1%,13%
Maine,14%,31%,40%,1%,14%
Rhode Island,12%,30%,42%,1%,15%
Alabama,10%,30%,45%,1%,14%
Pennsylvania,11%,29%,43%,1%,16%
Nebraska,13%,29%,41%,1%,16%
Vermont,11%,33%,42%,1%,13%
Virginia,11%,30%,42%,2%,15%
Illinois,10%,31%,41%,1%,17%
South Carolina,11%,29%,45%,1%,14%
Texas,13%,30%,39%,1%,17%
Georgia,9%,29%,44%,2%,16%
Hawaii,12%,31%,42%,1%,14%
Florida,11%,29%,43%,1%,16%
Massachusetts,10%,30%,43%,1%,16%
Louisiana,11%,28%,43%,1%,17%
North Carolina,11%,29%,42%,1%,17%
Delaware,9%,29%,41%,2%,19%
Connecticut,11%,30%,42%,1%,16%
Maryland,10%,31%,41%,2%,16%
New Mexico,10%,33%,38%,1%,18%
California,12%,34%,36%,1%,17%
New Jersey,10%,31%,40%,1%,18%
Mississippi,10%,30%,40%,2%,18%
New York,10%,30%,41%,2%,17%
District of Columbia,9%,29%,43%,2%,17%
